statenum,casenum,acchr,latitude,longitude,numfatal,age
25,1,21,42.02187778,-70.95031944,1,33
25,2,0,42.53625556,-70.98880556,1,51
25,3,1,42.10124444,-71.03602222,1,23
25,3,1,42.10124444,-71.03602222,1,26
25,4,19,42.38179722,-73.34515833,1,50
25,5,4,41.99703333,-71.27417778,1,24
25,6,4,41.6883,-69.96654444,1,34
25,7,18,42.57618333,-71.83410556,1,72
25,8,1,41.84619167,-70.84962778,1,16
25,8,1,41.84619167,-70.84962778,1,18
25,9,18,42.54415278,-71.87743889,1,46
25,9,18,42.54415278,-71.87743889,1,68
25,10,13,42.21089167,-71.54435833,1,23
25,10,13,42.21089167,-71.54435833,1,24
25,10,13,42.21089167,-71.54435833,1,33
25,11,16,42.15782222,-73.26435278,1,40
25,12,2,42.40263889,-71.05920278,1,19
25,13,1,42.29142222,-72.40929722,1,42
25,14,19,41.64013889,-71.01578333,1,19
25,14,19,41.64013889,-71.01578333,1,21
25,14,19,41.64013889,-71.01578333,1,64
25,15,18,41.99895833,-71.20506389,1,54
25,15,18,41.99895833,-71.20506389,1,63
25,16,21,41.944675,-71.28343611,1,47
25,17,14,42.18396944,-71.886975,1,45
25,18,12,42.153825,-72.638625,1,19
25,18,12,42.153825,-72.638625,1,23
25,18,12,42.153825,-72.638625,1,39
25,19,13,42.36278056,-71.11363056,1,44
25,20,3,42.22771389,-71.64440556,2,18
25,20,3,42.22771389,-71.64440556,2,19
25,20,3,42.22771389,-71.64440556,2,20
25,20,3,42.22771389,-71.64440556,2,24
25,20,3,42.22771389,-71.64440556,2,27
25,21,18,42.241275,-71.00488333,1,51
25,22,18,42.5796,-71.77689167,1,38
25,23,14,42.66597778,-71.117775,1,53
25,23,14,42.66597778,-71.117775,1,54
25,24,12,42.36125833,-71.06560833,1,38
25,25,11,42.40372222,-71.13964722,1,60
25,26,22,42.67043611,-71.57744722,1,23
25,28,1,42.07774167,-72.381775,1,25
25,29,6,41.64916389,-70.92756389,1,19
25,29,6,41.64916389,-70.92756389,1,22
25,30,12,42.23936944,-70.98477222,2,43
25,30,12,42.23936944,-70.98477222,2,78
25,30,12,42.23936944,-70.98477222,2,83
25,30,12,42.23936944,-70.98477222,2,998
25,31,7,42.14088889,-72.58355833,1,31
25,31,7,42.14088889,-72.58355833,1,63
25,32,5,42.02363611,-71.12014167,1,29
25,33,5,41.44534167,-70.62283889,1,24
25,34,22,42.45046389,-71.02293611,1,20
25,35,15,42.28676111,-72.80133056,1,26
25,36,11,42.37335,-71.91008611,1,17
25,37,12,42.08833611,-71.42598611,1,30
25,37,12,42.08833611,-71.42598611,1,31
25,38,21,42.30448889,-71.73593889,1,45
25,38,21,42.30448889,-71.73593889,1,51
25,38,21,42.30448889,-71.73593889,1,67
25,38,21,42.30448889,-71.73593889,1,998
